Description,Population in 2016,RadiusInPixelsRange10-20,FillBlues,LongitudeLatitudeWkt
"New York, NY",8537673.0,8537673.0,1.0,POINT (-74.0059413 40.7127837)
"Philadelphia, PA",1567872.0,1567872.0,3.0,POINT (-75.1652215 39.9525839)
"Ann Arbor, MI",120782.0,120782.0,5.0,POINT (-83.7430378 42.2808256)
"Mansfield, MO",1261.0,1261.0,7.0,POINT (-92.5807231 37.1067189)
"From Mansfield, MO to Ann Arbor, MI",,,,"LINESTRING (-92.5807231 37.1067189, -83.7430378 42.2808256)"
